0,1,2,3,4,5,6,7,8
CRUISE NUMBER = ,94138 ,,,,,,,
CHIEF SCIENTIST = ,J. SHAW ,,,,,,,
PROJECT NUMBER = ,900031 ,,,,,,,
SAMPLE NUMBER ,SAMPLE TYPE ,SAMPLE DAY/TIME ,SEISMIC DAY/TIME ,LATITUDE ,,LONGITUDE ,DEPTH (M) ,GEOGRAPHIC LOCATION 
009 ,GRAB ,2641711 ,2631420 ,45 24.6429 ,61 ,14.0708 ,27 ,"CHEDABUCTO BAY, NS "
010 ,CAMERA ,2641717 ,2631420 ,45 24.5725 ,61 ,14.0305 ,28 ,"CHEDABUCTO BAY, NS "
011 ,GRAB ,2641744 ,2631455 ,45 24.6621 ,61 ,17.3659 ,22 ,"CHEDABUCTO BAY, NS "
012 ,CAMERA ,2641750 ,2631455 ,45 24.6048 ,61 ,17.2945 ,24 ,"CHEDABUCTO BAY, NS "
013 ,GRAB ,2641800 ,2631500 ,45 24.7049 ,61 ,17.7692 ,21 ,"CHEDABUCTO BAY, NS "
014 ,CAMERA ,2641806 ,2631500 ,45 24.6718 ,61 ,17.6825 ,22 ,"CHEDABUCTO BAY, NS "
015 ,GRAB ,2661652 ,2651340 ,45 45.5936 ,61 ,"47,8063 ",18 ,"ST. GEORGE'S BAY, NS "
016 ,CAMERA ,2661655 ,2651340 ,45 45.5640 ,61 ,47.7998 ,18 ,"ST. GEORGE'S BAY, NS "
017 ,GRAB ,2661720 ,2651418 ,45 43.2832 ,61 ,45.7908 ,23 ,"ST. GEORGE'S BAY, NS "
018 ,CAMERA ,2661723 ,2651418 ,45 43.2988 ,61 ,45.8269 ,23 ,"ST. GEORGE'S BAY, NS "
019 ,GRAB ,2661738 ,2651442 ,45 43.8024 ,61 ,45.1142 ,20 ,"ST. GEORGE'S BAY, NS "
020 ,CAMERA ,2661743 ,2651442 ,45 43.8043 ,61 ,45.1609 ,21 ,"ST. GEORGE'S BAY, NS "
021 ,GRAB ,2661800 ,2651359 ,45 42.9605 ,61 ,43.8476 ,15 ,"ST. GEORGE'S BAY, NS "
022 ,CAMERA ,2661804 ,2651359 ,45 42.9754 ,61 ,"43,8830 ",15 ,"ST. GEORGE'S BAY, NS "
023 ,GRAB ,2661820 ,2651340 ,45 42.6642 ,61 ,"41,9926 ",19 ,"ST. GEORGE'S BAY, NS "
024 ,CAMERA ,2661824 ,2651340 ,45 42.6873 ,61 ,42.0310 ,19 ,"ST. GEORGE'S BAY, NS "
025 ,GRAB ,2671348 ,2671326 ,45 51.1232 ,61 ,34.5862 ,18 ,"ST. GEORGE'S BAY, NS "
